year,quarter,generated_coal,generated_oil,generated_gas,generated_nuclear,generated_hydro,generated_wind_solar,generated_wind_solar_onshore,generated_of_which_offshore,generated_bioenergy,generated_pumped_storage,generated_other_fuels,generated_renewable,generated_non_renewable,generated_total
2010,1,32.62,1.44,48.19,18.19,0.84,2.43,1.7600000000000002,0.67,2.97,0.86,0.64,6.240000000000009,101.94,108.18
2010,2,19.53,0.92,45.49,13.88,0.65,1.67,1.21,0.46,2.93,0.76,0.67,5.250000000000014,81.25999999999999,86.51
2010,3,19.79,1.14,40.83,13.02,0.86,2.77,1.94,0.83,3.13,0.71,0.64,6.759999999999991,76.12,82.88
2010,4,35.66,1.31,41.15,17.05,1.24,3.45,2.35,1.1,3.24,0.82,0.59,7.929999999999993,96.57000000000001,104.5
2011,1,35.13,0.91,38.3,19.45,1.3,3.41,2.41,1.0,3.36,0.77,0.74,8.069999999999993,95.30000000000001,103.37
2011,2,19.04,0.56,36.92,19.15,1.14,3.69,2.56,1.13,3.16,0.65,0.75,7.989999999999995,77.08,85.07
2011,3,19.1,0.77,38.61,15.76,1.23,3.12,2.02,1.1,3.35,0.7,0.78,7.700000000000003,75.72,83.42
2011,4,35.18,0.88,32.66,14.62,2.02,5.99,4.07,1.92,3.45,0.78,0.56,11.459999999999994,84.67,96.13
2012,1,42.04,0.86,27.23,17.2,1.83,5.25,3.74,1.51,3.93,0.79,0.78,11.010000000000005,88.89,99.9
2012,2,31.23,0.67,25.23,18.53,0.8,4.33,2.68,1.65,3.01,0.67,0.86,8.14,77.19,85.33
2012,3,28.77,0.56,22.98,18.03,1.05,4.91,3.2,1.71,3.54,0.71,0.88,9.5,71.94,81.44
2012,4,40.75,0.8,24.73,16.65,1.64,6.71,3.9699999999999998,2.74,4.26,0.79,0.88,12.61,84.6,97.21
2013,1,41.43,0.53,27.24,18.28,1.25,6.92,4.1,2.82,4.14,0.74,0.84,12.310000000000002,89.06,101.37
2013,2,28.84,0.46,24.17,15.47,0.97,7.19,4.5600000000000005,2.63,5.06,0.69,0.89,13.219999999999999,70.51,83.73
2013,3,26.55,0.59,21.33,18.69,0.74,5.59,3.61,1.98,4.46,0.71,0.83,10.789999999999992,68.71000000000001,79.5
2013,4,33.44,0.49,23.11,18.16,1.74,10.71,6.680000000000001,4.03,4.44,0.76,0.83,16.889999999999986,76.79000000000002,93.68
2014,1,34.55,0.55,21.75,16.53,2.24,11.52,7.14,4.38,4.57,0.79,0.99,18.33,75.15,93.48
2014,2,22.1,0.51,23.77,17.5,1.11,6.6,4.51,2.09,5.45,0.67,0.94,13.159999999999997,65.5,78.66
2014,3,15.9,0.45,29.15,15.66,0.78,6.69,4.45,2.24,5.91,0.63,0.96,13.379999999999995,62.74000000000001,76.12
2014,4,27.7,0.42,26.23,14.06,1.75,11.2,6.509999999999999,4.69,6.69,0.79,1.0,19.64,70.19,89.83
2015,1,29.55,0.52,23.63,18.17,2.01,12.78,8.1,4.68,6.96,0.72,1.19,21.75,73.79,95.54
2015,2,16.01,0.42,23.48,16.92,1.43,11.44,7.859999999999999,3.58,7.02,0.65,1.15,19.89,58.629999999999995,78.52
2015,3,12.83,0.54,26.56,16.56,1.03,9.92,6.51,3.41,7.06,0.65,1.17,18.010000000000005,58.31999999999999,76.33
2015,4,17.48,0.55,26.2,18.69,1.83,13.68,7.92,5.76,8.22,0.71,1.12,23.730000000000004,64.75,88.48
2016,1,14.69,0.34,33.99,17.34,2.17,12.99,7.84,5.15,8.53,0.76,1.4,23.689999999999998,68.53,92.22
2016,2,4.58,0.56,34.44,16.66,0.98,11.12,7.869999999999999,3.25,7.71,0.69,1.3,19.81000000000001,58.20999999999999,78.02
2016,3,2.71,0.45,32.63,18.86,1.2,11.93,8.35,3.58,6.22,0.69,1.34,19.35,56.699999999999996,76.05
2016,4,8.69,0.54,42.06,18.87,1.26,11.63,7.210000000000001,4.42,7.61,0.82,1.53,20.5,72.51,93.01
2017,1,10.43,0.37,37.94,17.64,1.9,14.5,9.33,5.17,8.92,0.79,1.29,25.320000000000007,68.47,93.79
2017,2,1.54,0.36,31.8,17.83,0.91,14.8,10.81,3.99,7.84,0.69,1.3,23.549999999999997,53.53,77.08
2017,3,2.16,0.46,30.18,18.17,1.32,13.59,9.629999999999999,3.96,7.78,0.64,1.3,22.689999999999998,52.91,75.6
2017,4,8.4,0.43,36.9,16.69,1.8,18.64,10.8,7.84,7.33,0.75,1.24,27.769999999999996,64.41000000000001,92.18
2018,1,8.79,0.43,36.93,16.64,1.39,19.39,11.420000000000002,7.97,7.46,0.75,1.35,28.239999999999995,64.89,93.13
2018,2,1.24,0.28,32.13,16.63,0.87,14.85,10.1,4.75,8.53,0.66,1.36,24.250000000000007,52.29999999999999,76.55
